,data_clean,created_at,location,sentimen
67,miris uang korupsi jiwasraya bayar kasino hitung milyar hitung triliun mana gerangan alir,2020-06-05,,Positif
68,uang laundrying monkey bisnis point ya suap legal ada terima suap barang antik seni harga normalbiasa terima suap jual mahalharga masuk akal beri suap beli walo mahal anggap legal,2020-06-18,,Negatif
69,ungkap proyek tender istana ungkap mafia sedia apd alkes putus orang salasatunya ksp main putus anggar beli impor usaha mana saham mafia alkes,2020-04-25,Pulau Reklamasi Jakarta Utara,Negatif
70,februari dana asing masuk rupiah miliar februari dana asing kabur capai rupiah triliun pesan beliauharus syukur kufur nikmat,2020-02-07,South East Asia,Positif
71,rudi rubiandini uang rupiah triliun masuk kas negara uang selisih harga jual pertamax maret april tambah delapan indikasi korupsi kah,2020-05-07,,Negatif
72,temu potensi rugi negara duga korupsi anggap kaji apa hasil audit rugi negara biaya undang undang no corona jamin aman tuyultuyul curi,2020-06-24,,Negatif
73,ayo bayarbayar anies sri mulyani cair dana piutang daerah khusus ibukota rupiah,2020-04-02,,Positif
74,temu alir dana kemenhan alir rekening pribadi dahnil anzar simanjuntak angkat bicara,2020-07-20,Chelsea elReal Juve ,Positif
75,legal duit masuk negara negara larang ilegal main situ harga jual mahal untung masuk kantong pribadi tuju,2020-11-10,"Indramayu, Indonesia",Negatif
76,anda habib rizieq shihab november terima uang triliun orang tanah abang habib rizieq shihab urus hukum dana triliun pribadi triliun organisasi front bela islam beliau mata duit,2020-12-30,"Dun-le-Palestel, France",Negatif
77,hot duit korupsi bansos duga alir partai demokrasi indonesia juang staf puan ada tas rekomendasi gibran simak,2020-12-20,Jakarta Capital Region,Positif
78,indonesia lembaga amal zis manusia audit uang sumbang lembaga spanduk iklan umengumpulkan dana derita rakyat timur mohon usut,2020-03-09,"Louvain-la-Neuve, Belgium.",Positif
79,rizal ramli doping intervensi bi dana dolar pinjam bukti siasia kurs rupiah dolar as,2020-03-13,,Negatif
80,fakta sidang praperadilan irjen napoleon duit rupiah miliar djoko tjandra,2020-09-29,,Negatif
81,bocor ya alir orang orang jaksa agung,2020-05-16,,Positif
82,salah duit tiongkok masuk indonesia defisit parah,2020-01-19,,Positif
83,mubazir bukti uang ratus milyar influencer kalang awam beda buzzerp hacker akun kelompok kritis benarbenar mubazir bukti citra polisi ri kunjung baik tanggung jawab rakyat milik uang,2020-08-23,,Negatif
84,psi umumkam jegal anies amat dana taipan cair,2020-02-26,,Negatif
85,prinsip imparsial laku modal tak akan masuk bui mafia hukum navicula,2020-07-15,,Negatif
86,skandal transaksi janggal triliun dolar perban dunia alir indonesia,2020-09-20,Indonesia,Positif
87,hot duit korupsi bansos duga alir partai demokrasi indonesia juang staf puan ada tas rekomendasi gibran,2020-12-20,Indonesia,Positif
88,logika uang ikut jalan uang uang halal alir uang haram alir insya allah sidik under control novel bswdn paham sifat uang lacak uang hak orang miskin rampok juliari rekan tuntas tas,2020-12-29,,Positif
89,gila fitra total korupsi menteri sosial juliari capai rupiah triliun,2020-12-06,,Negatif
90,komisi xi dprri dukung rizal ramli tolak cetak uang cetak uang potensi skandal korupsikolusi,2020-05-02,,Negatif
91,impor bawang politikus partai demokrasi indonesia juang dakwa suap laku diadia bicara bangsa rakyat rakyat biijjiii,2020-01-18,Jakarta,Negatif
92,hasil telusur icw laman layan sedia elektronik temu polisi duga gelontor dana rupiah triliun beli alat kait pantau digital,2020-10-09,Indonesia,Positif
93,polisi republik indonesia usut duga alir dana brigjen prasetyo utomo,2020-07-16,Indonesia,Positif
94,arteria dahlan tindak komisi berantas korupsi ilegal rugi partai demokrasi indonesia juang,2020-01-13,Indonesia,Positif
95,pergi indonesia investor dana asing bawa lari rupiah,2020-03-27,Indonesia,Positif
96,antasari azhar barang bukti uang rupiah miliar djoko tjandra,2020-08-22,,Negatif
97,gara gara lapor bawa duit rupiah miliar warga indonesia tangkap polisi singapura,2020-03-27,,Positif
98,icw dana perintah rupiah influencer,2020-08-22,Indonesia,Positif
99,dana asing triliun rupiah tinggal indonesia,2020-03-21,Indonesia,Positif
100,hot duit korupsi bansos duga alir partai demokrasi indonesia juang staf puan ada tas rekomendasi gibran,2020-12-20,,Positif
101,duaarrrr politis partai nasional demokrat andi irfan jaya resmi tetap sangka duga suap gratifikasi libat jaksa pinangki sirna malasari urus fatwa mahkamah agung djoko tjandra,2020-09-02,Jakarta Capital Region,Negatif
102,alas bankbank kakap alir uang haram,2020-09-21,,Positif
103,djoko tjandra alir dana pinangki politis nasional demokrat andi irfan jaya,2020-08-31,Indonesia,Positif
104,bocor ribu dokumen rahasia ungkap transaksi curiga libat jabat usaha langgar hukum otoritas perban penjuru dunia nama usaha indonesia muncul dokumen,2020-09-21,Indonesia,Negatif
105,pakai uang rakyat ri audit dana buzzer rupiah,2020-08-21,Indonesia,Positif
106,dokumen rahasia financial crimes enforcement network fincen ungkap lintas transaksi uang curiga skala global nila rupiah triliun,2020-09-21,Indonesia,Positif
107,siapsiap periksa alir dana covid rupiah triliun,2020-06-24,Indonesia,Positif
108,dana miliar perintah tahu alir buzzer duga membully kelompok kritis,2020-08-21,,Positif
109,mahfud md sebut suap aparat negara uang tunai suap atm dalam isi uang aparat,2020-12-19,Indonesia,Negatif
110,andi arief perintah duga hgu megamendung sumber dana habib rizieq keliru,2020-12-29,,Positif
111,denny siregar haikal hasan aku transfer dana sangka ancam pidana penjara minimal maksimal denda rupiah miliar moga penjara amin ya rabbal alamin,2020-09-19,Jakarta Capital Region,Positif
112,sebar link film ilegal akun tjahjo kumolo sekakmat sutradara joko anwar,2020-08-17,Indonesia,Negatif
113,tempat ada bangun irigasi apsih sungai dengar dana bangun bilang irigasi wkwk lapor warga suruh damai bau kecipraran,2020-12-06,,Negatif
114,rupiah uang suap usaha ada bansos menteri sosial juliari batubara ada ratus ribu dolar as ribu dolar singapura sita komisi berantas korupsi,2020-12-05,,Negatif
115,terap pasal tindak pidana cuci uang tppu jaksa indonesia utas,2020-11-09,"Bandung, Jawa Barat",Positif
116,chairos digmoslo con claridad dinero entrega uji nasional partido poltico sin ser declarado las autoridades electorales sin importar su origen destino es dinero ilegal entregarlo aceptarlo utilizarlo configura uji nasional dito no importa sih es mucho es poco quedo claro,2020-08-25,México,Negatif
117,jahat transnasional rusak ekonomi lokal nasional rusak lingkung bahaya sehat sejahtera masyarakat kepala ppatk,2020-01-21,NKRI,Negatif
118,duo ikonik rival ep cuat alir dana ilegal miliar dolar identitas agen flownya asyik sekali pelan warna karakter over bikin eneg tunggu,2021-05-03,Indonesia,Positif
119,tipu transfer won jujur suspicioud sekali nih orang nomor dana langsung link dana maaf ya thread urut,2021-01-05,Indonesia,Positif
120,kali dengar ada organisasi masyarakat bela agama libat duga langgar hukum alir dana asing terorisme senjata api ilegal hati deh pilih organisasi masyarakat agama,2021-02-06,Blossomville 🌹,Positif
121,harta kaya rupiah miliar sogok ketua dewan pimpin cabang demokrat indonesia rupiah juta dewan pimpin cabang selenggara musyawarah luar biasa di situ ada dana ilegal main selidik alir dana putar jabat istana,2021-02-02,"Di bawah langit, di atas tanah",Positif
122,mahfud md ppatk telusur sumber dana organisasi masyarakat ilegal front bela islam perintah telusur alir dana front bela islam,2021-01-06,"Jakarta Selatan, DKI Jakarta",Positif
123,tim leader dc pinjol illegal dayu grebek operasi the power of uang,2021-05-22,,Negatif
124,ampo uang rakyat uang negara garong data bantu likuiditas bank indonesia rupiah triliun asabri rupiah triliun jiwasraya rupiah triliun bank century rupiah triliun supersemar soeharto rupiah triliun ktpe rupiah triliun bansos rupiah triliun soeharto rupiah triliun data ti,2021-09-18,"Louvain-la-Neuve, Belgium.",Positif
125,pantau giat orang cina pulau riau usaha labuh ilegal sih sunti sungai nama laut bintan pantau labuh operasi ilegal sabandar bea cukai bintan terima alir dana sunti,2021-01-07,,Positif
126,mega korupsi dalang sentuh guna dana haji,2021-05-03,,Positif
127,ayo up alir dana pesantren ada mesum ada alir dana ilegal orang syiah ada kawin mutah ayo tunggu,2021-12-10,,Positif
128,alir dana ilegal front bela islam wajik usut tuntas buka publik,2021-03-10,,Negatif
129,mahfud md libat kepala ppatk dian ediana rae konferensi pers mahfud md ppatk telusur sumber dana organisasi masyarakat ilegal front bela islam perintah telusur alir dana front bela islam,2021-01-06,"Jakarta Selatan, DKI Jakarta",Positif
130,well done ojk bilang lambat apresiasi langkah ojk otoritas jasa uang swi satu tugas waspada investasi link berita,2021-11-04,Any City,Negatif
131,aparat jebak dikotomi pinjol legal ilegal langgar hukum laku pinjol legal praktik langgar hukum tawar hitung bunga tagih dan lain lain,2021-10-15,Indonesia,Negatif
132,pandora papers dedah rm trilion dana dakwa negara mirip hasil bumi rompak trilion ringgit hancur negara,2021-10-07,,Negatif
133,kuiss pagiii klepon maniss amlers nya selundup narkoba jenis ganja indonesia belanda uang hasil jual ganja belanda kirim indonesiany tangkap badan narkotika nasional uang nya sita end like,2021-01-13,Jakarta-Indonesia,Negatif
134,icw komisi berantas korupsi jaksa sami mawon buka blokir baca cerpen kuat temu lebih bayar rupiah miliar proyek sarana prasarana spora riau anggar rupiah miliar,2021-08-11, Dimana-mana,Negatif
135,komisi berantas korupsi periksa alir dana otsus lukas enembe kabur ilegal gubernur enembe kabur,2021-04-02,"Aceh Barat, Nangro Aceh Daruss",Positif
136,gemasulawesi polisi laku lidi alir dana pinjam online pinjol ilegal libat warga negara asing warga negara asing cina inisial kantor jasa tagih pinjol gerebek satu reserse kriminal satreksrim polisi resor,2021-10-28,"Sulawesi Tengah, Indonesia",Positif
137,tanggal rupiah juta gaji pokok tanggal rupiah juta tunjang dana aspirasi rupiah juta tahun dana kunjung daerah pilih rupiah juta tahun orang anggota mendapatka uang rupiah miliar,2021-09-15,"Dun-le-Palestel, France",Positif
138,sandang dana giat acara ilegal langgar hukum tindak ada alir dana front bela islam alir giat kriminalitas radikalisme terorisme maka urus tindak hukum,2021-01-01,"Jakarta Capital Region, Indonesia",Positif
139,ratius murib alias neson murib sang pasok senjata kkb fuckta kait giat ilegal nya omset miliar rupiah ssssttada alir dana perintah daerah libat kader partai check it out skaar,2021-06-17,,Positif
140,gagal bayar marak bisnis skema ponzi investasi bodong angka anggur usia produktif indikasi uang endap negeri putar uang bocor salah satu topeng unicorn dana dari mana produk untung mana,2021-05-05,,Positif
141,ppatk ada transfer lintas negara rekening front bela islam temu alir dana dukung aksi terorisme usut tuntas buka publik,2021-01-24,Sweet home,Positif
142,badan reserse kriminal polisi republik indonesia buru ribu aplikasi pinjam online ilegal kabareskrim polisi republik indonesia komjen pol doktorandes agus andrianto sh mah berantas ribu pinjol ilegal pinjol ilegal resah masyarakat,2021-06-22,,Positif
143,kawal rupiah triliun jeruji besi uang solo singapura uang cecer rapi susun moga bongkar,2021-02-02,Indonesia,Negatif
144,tazneen miriam sailar warga negara inggris himpun dana ilegal indonesia jihad suriah deteksi kirim dana rekening front bela islam,2021-02-05,Indonesia,Positif
145,betasemen khusus temu alir dana kelompok sasana giat latihanlatihan fisik,2021-11-26,DIHATIMU,Positif
146,gila pecah rekor uang negara selamat jaksa agung danareksa sekuritas rupiah impor textil rupiah jiwasraya rupiah asabri rupiah sasar sembunyi harta laku korupsi sikat biar st burhanuddin jaksa agung ri,2021-09-19,,Positif
147,bantu viralkan biar usut tuntas icw lapor jaksa agung duga terima dana asing informasi negara jual negeri lembaga swadaya masyarakat nama icw,2021-06-23,🇮🇩 Pancasila,Positif
148,pinjol enggak usah tunggu perintah ri alir dana negeri tracking ppatk indikasi cuci uang berantas ilegal legal ilegal atap orang,2021-10-15,"Ciomas, Bogor",Positif
149,dana kenal masuk kemarin jun situ tulis buana media teknol bingung ya ya dengar nama kali terima kasih to google mudah cair informasi googlinglah sih buana,2021-06-24,Dreamland,Negatif
150,lapor tagih pinjol ilegal pinjam,2021-09-07,Jakarta,Positif
151,ojk curiga ada cuci uang asing pinjol ilegal,2021-10-22,Indonesia,Positif
152,menginstall aplikasi aneh apa biar takut tagih panik judul pinjol ilegal aman lindung negara pinjam sadar kirim duit,2021-06-21,Depan SD Sekitarmu,Positif
153,ppatk temu alir dana signifikan negeri biaya giat terorisme negeri iraqsuriah sapu bersih monggo,2021-01-14,twitter.com,Positif
154,dana rm juta akun bank dsn milik src international hakim abdul karim beliau gera dana syarikat akun pribadi ada unsur seleweng,2021-12-08,Kuala Lumpur Federal Territory,Positif
155,hina binatang tazneen miriam sailar warga negara inggris himpun dana ilegal indonesia jihad suriah deteksi kirim dana rekening front bela islam,2021-02-05,Jakarta Raya,Positif
156,modus pakai skema ponzi ppatk endus ada alir dana rupiah pinjol ilegal,2021-12-22,Indonesia,Positif
157,asal sunton capital scam susul mark ai bilang ada alir dana ilegal jumat wd depo pintar nih mark bilang tipu depo bego percaya,2021-10-19,,Positif
158,butuh bantu nih alir dana masyarakat kumpul ilegal antisipasi uang laundering dana sumbang terorisme,2021-09-04,Indonesia,Positif
159,iya alir dana pinjol ilegal yapwncucian uang,2021-10-23,,Positif
160,ppatk endus alir dana hasil jahat modal pinjol ilegal,2021-11-22,Jakarta,Positif
161,plandemi alir dana alir masker palsu korupsi bansos alat tes bekas fckseen ilegal kirakira,2021-05-22,,Positif
162,tips hindar jebak pinjol ilegal waspada alir dana curiga rekening,2021-10-01,"Jakarta, Indonesia",Positif
163,gain of function research dana us wiv cina teori fakta ada alir dana alir tuju gain of function research us mayoritas negara maju ilegal an cina,2021-09-12,"Bali, Indonesia",Positif
164,anti asing boneka asing hantu munafik drun,2021-01-25,Indonesia,Negatif
165,kontroversi alir dana tambang ilegal gunung botak,2021-08-07,"Moluccas, Indonesia",Positif
166,parah usut alir dana ilegal organisasi masyarakat larang front bela islam,2021-02-23,,Positif
167,jepang dana aspirasi larang picu dukung politik rakyat indonesia halal,2021-10-09,"-6.252543,106.806343",Positif
168,tppu alir dana sahtidak sah giat kejahatankriminalilegal terorisme salah agregator cuci uang sumber legalilegal atur undang undang no cegah berantas tindak pidana dana terorisme,2021-01-05,Singapore,Positif
169,lihat ada alir dana ilegal ketua umum ilegal duga oknum kuasa ketua umum cokok komisi berantas korupsi proses salah ujung paksa kehndak ada duga bukti biara komisi berantas korupsi,2021-03-06,,Positif
170,sesuai undang undang no tppu aparat tegak hukum lidi transaksi curiga telusur alir dana giat ilegal logging predicate crime tppu alir dana keg samar asal giat normal,2021-11-16,"DKI Jakarta, Indonesia",Positif
171,ada duga alir dana hasil jahat asal wilayah indonesia modal bisnis pinjam online ilegal,2021-11-23,Jakarta,Positif
172,telusur latar organisasi masyarakat demo tokoh intelek periksa alir dana afiliasi kait organisasi masyarakat ilegal ramekan beku dana,2021-02-23,,Positif
173,total korupsi menteri sosial juliari capai rupiah triliun fitra gila,2021-01-12,,Negatif
174,unit bank sentral afghanistan upaya lawan alir dana gelap curiga sumber uang gera terorisme henti operasi anggota staf unit,2021-09-16,"DKI Jakarta, Indonesia",Positif
175,lanjur korban pinjol ilegal bayar bayar bayar ada terima teror lapor kantor polisi dekat polisi lindung mahfud md,2021-10-20,"DKI Jakarta, Indonesia",Negatif
176,ya allah ngeri sekali uang kemarin ada jadi uang ribu an jalan rumah ada tetangga orang asing buang buang uang pas selidik sugih,2021-05-04,"Surakarta, Jawa Tengah",Negatif
177,faldo maldini uang enak maknyus libat main kacang ada rupiah triliun serta modal daerah bumd daerah khusus ibukota sarana jaya dirutnya angkut komisi berantas korupsi sangka,2021-03-09,Jakarta Capital Region,Negatif
178,banyak alir dana transaksi miliar dunia ppatk awas ada grup negara buka jendela informasi transaksi curiga dorong gera ilegal teror ilegalmelawan hukum,2021-02-09,"Jawa Barat, Indonesia",Positif
179,tanker milik jaring koruptor asabri putar uang mafia migas modal dana korupsi asabri anggap remeh triliun uang siluman hak negara rampok uang rampok modal rampok migas,2021-03-06,,Negatif
180,tazneen miriam sailar warga negara inggris himpun dana ilegal indonesia jihad suriah deteksi kirim dana rekening front bela islam,2021-02-06,Indonesia,Positif
181,koperasi simpan pinjam ilegal ratus aplikasi pinjol blokir dana puluh miliar mohon aktif awas alir dana modus moneylaundry,2021-10-26,Indonesia,Positif
182,indonesia crypto wallet jamin ojk kontrol alir uang asal dana ilegal sulit lacak alamat crypto kecuali ada lapor data jaga negara satu republik indonesia tppu pt,2021-06-26,In your heart 🍀🍀♥,Positif
183,veces por leer prensa dormir siesta uji nasional instrumento esquivar los controles inyectar millones deh euros pblicos discrecin empresas afines una fuente deh dinero cas infinita con el financiaban comidas viajes hasta juergas prostbulos,2021-09-06,Nusa Tenggara Barat,Negatif
184,rezim bandit ketulungan dana anggar dapat dan belanja negara alokasi anggar dapat dan belanja negara januari juli triliun rupiah bilang uang sekali uang,2021-07-18,,Positif
185,ya nya pimpin berani bongkar bobrok komisi berantas korupsi inibuktinya ada gelap barang bukti batang emaskmd ada oknum bocor ada penggeledahanada alir dana ilegal kantong icw,2021-05-27,,Positif
186,orang sengaja kuasa aku milik dana hasil transfer patut hak pidana pidana penjara denda rupiah miliar bunyi pasal undang undang nomor,2021-06-21,on ur contact list,Positif
187,arif duga tindak bubar klb ilegal pandemi covid instansi perintah tambah curiga duga suap alir oknumoknum instansi kait,2021-03-08,Medan,Positif
188,investasi ilegal marak kembang pesat tengahtengah masyarakat rugi masyarakat capai rupiah triliun,2021-02-26,,Positif
189,up alir dana selenggara terima anak tampung di rumah ada awas intel mana masak gera tampung keluarga ada awas rt rukun warga lurah masyarakat,2021-12-11,,Positif
190,korupsi bansos diam orang open donasi manusia ribut sehat muannas alaidid donasi palestina uah ilegal kena pidana penjara,2021-06-02,"Rotterdam, The Netherlands",Negatif
191,mungkir drun tazneen miriam sailar warga negara inggris himpun dana ilegal indonesia jihad suriah deteksi kirim dana rekening front bela islam,2021-02-06,,Positif
192,serta klb ilegal ada an asumsi nazarudin nambahkan masingmasing juta total miliar hari uang nazarudin dari mana,2021-03-08,Jakarta Capital Region,Positif
193,pakar politik unas warga negara asing cina bebas masuk kuat duga ada feedback dana cina pilih presiden,2021-05-26,あなたの心に,Positif
